Id_accidentalidad;seq_fecha;franja_horaria;r-franja;seq_tipo_accidente;seq_afectación;seq_tipo_servicio;seq_empresa_operadora;concesion;linea;ruta;coordenada_X;coordenada_Y;desp_suceso;num_lesionados _valorados;num_lesionados _trasladados;num_víctimas_fatales;gravedad_afectados;conciliación;placa;inmovilizado;sentido
201992;1;0 - 1;01:00 - 03:59;1;1;3;2;9;[619] T23;[2243] T23_HABITUAL_2016-06-20;601263;523870;Operador reporta que con el móvil a su cargo realizando la tabla 15 viaje 4, presenta un evento con las siguientes características:va en recorrido y un peatón se cruza frente al zonal, no alcanza a reaccionar y lo colisiona, se envía asistencia de recomoto y/o abogado del concesionario  Reportado a TS William Varela de TMSA, reportado por TC luisa corredor  Se realizo informe de transito con causal 407 para el peaton, movil se dirige a patio alamos;0;1;0;1;No;WGG594;No;Orien-Occi
201996;1;6 - 7;04:00 - 07:59;3;3;3;5;1;[500] 120;[3254] 120 V.5;597126;511119;Tabla 11 / Viaje 1 operador informa un taxista sale de imprevisto de la estacion de servicio  y colisionamos en costado derecho / se concilia con tercero móvil se dirige para patio san José/ Reportado por el TCZ de ETIB - Indira Gomez/ Reportado al TS del Ente Gestor - Carlos Ordoñez;0;0;0;5;Sí;WCL638;No;Sur-Norte
202001;1;7 - 8;04:00 - 07:59;2;3;3;5;1;[115] E16;[2678] E16 IDA V.5;595667;511958;"Tabla 29 / Viaje 1 el operador informa que un particula lo cierra por el costado derecho y lo choca BWE708 / el señor policía de tránsito de chaleco 147709 explica procedimiento al tercero el cual deja $20 000 "" Veinte mil pesos"" Y se retira del sitio sin suministrar datos   Reportado por el TCZ de ETIB - Bohorquez Murcia Yesid Giovanni/ Reportado al TS del Ente Gestor - Carlos A Ordoñez
";0;0;0;5;Sí;WLT627;No;Sur-Norte
202023;1;10 - 11;08:00 - 11:59;4;3;3;5;1;[494] 192;[3366] 192 V.8;601326;509925; Tabla 36 / Viaje 1/ en via operador reporta que bus particular coliciona con el zonal por la parte delantera derecha, no hay lesionados / se realiza conciliacion y se envía movil a patio Reportado por el TCZ de ETIB - Monroy Moya Luis Alejandro/ Reportado al TS del Ente Gestor - Pedro Nell Perdomo;0;0;0;5;Sí;VES450;No;Sur-Norte
202028;1;11 - 12;08:00 - 11:59;3;3;3;5;1;[584] C31;[3015] C31 v.4;594388;507969;Tabla 3 / Viaje 4 el operador repora que  el estaba realizando aproximacion a paradero y golpea a un taxicontinua / Reportado por el TCZ de ETIB - Rodríguez Gina/ Reportado al TS del Ente Gestor - Carlos Adiano Sanchez ;0;0;0;5;No;WPP401;No;Sur-Norte
202048;1;13 - 14;12:00 - 15:59;6;3;3;5;1;[675] 94;[1912] 94 VUELTA;592482;510843;Tabla 19 / Viaje 4/ Operador informa que un bus zonal de Masivo Capital se le acerca mucho en la parte trasera costado derecho y dobla el espejo retrovisor, no hay lesionados / se concilia con el tercero por cuenta de cobro, movil continua servicio/ Reportado por el TCZ de ETIB - Fabian Fandiño/ Reportado al TS del Ente Gestor - Gabriel Rodriguez;0;0;0;5;Sí;WMM597;No;Norte-Sur
202053;1;15 - 16;12:00 - 15:59;2;3;3;5;1;[250] C29-;[3251] C29 V.6;591082;508137;Tabla 4 / Viaje 7 Operador informa que tiene un choque simple con un carro particular, no hay lesionados, se envia asistencia al punto / Conclusion: Se realiza informe de transito para el operador causal 103, Movil se desplaza para patio/  Reportado por el TCZ de ETIB - Veronica Lizarazo/ Reportado al TS del Ente Gestor - Gabriel Rodriguez;0;0;0;5;No;ESL218;No;NO APLICA
202085;1;19 - 20;16:00 - 19:59;2;3;3;5;1;[378] 580-;[3247] 580 V.7;595749;510250;Tabla 2 / Viaje 5/ el operador reporta que realiza una maniobra evasiva, debido a que un vehículo particular  invade su carril,   al realizar la maniobra no alcanza a esquivar a otro vehículo particular que frena bastante fuerte/ como consecuencia de la maniobra se genera un choque simple/ en el cual no se presenta persona lesionada, ni tampoco persona fallecida/ se presenta daños al móvil y al tercero/ al punto no  hace presencia policía de tránsito que es la entidad encargada de atender el evento/ a las 20:50/ el tercero emprende la huida,  el móvil se dirige para el patio de la empresa / Reportado por el TCZ de ETIB - Sánchez Torres Wilson Armando/ Reportado al TS del Ente Gestor – Andrés Muñoz;0;0;0;5;No;WCM271;No;Orien-Occi
202087;1;20 - 21;20:00 - 23:59;2;3;3;5;1;[518] C27;[2911] C27 V.3;592406;507158;Tabla 8 / Viaje 4 operador reporta que particular por intentar sobrepasarlo lo colisiona por la parte izquierda   el tercero se da a la fuga y el zonal continua el recorrido  / Reportado por el TCZ de ETIB - Omar Casallas/ Reportado al TS del Ente Gestor - Jorge Enrique Gutiérrez;0;0;0;5;No;WPM867;No;Norte-Sur
202089;1;20 - 21;20:00 - 23:59;3;3;3;5;1;[837] RP3;[3513] P3 V.3;600669;503008;Tabla 9 / Viaje 5 operador reporta que un taxi que esta en contravia, colisiona el zonal y se da a la fuga, zonal continua el recorrido,   / Reportado por el TCZ de ETIB - Diego Molano/ Reportado al TS del Ente Gestor - Andres Muñoz;0;0;0;5;No;WGI062;No;Occi-Orien
202092;1;20 - 21;20:00 - 23:59;13;3;3;5;1;[665] T24;[2510] T24 VUELTA V.3;591739;508126;Tabla 13 / Viaje 8 operador reporta que  se suben a robar el zonal,  roban a varios usuarios  , intentan agredir con arma blanca al operador   pero no lo logran,  en ese momento el zonal se rueda y golpea 1 carro y una moto , se  genera informe policial para el operador  con causal 121 , zonal se envia en vacio al patio/ Reportado por el TCZ de ETIB - Diego Molano/ Reportado al TS del Ente Gestor - Andres Muñoz;0;0;0;5;No;WGI335;No;Norte-Sur
202123;2;7 - 8;04:00 - 07:59;9;3;3;5;1;[250] C29-;[3251] C29 V.6;588401;509626;Tabla 4 / Viaje 1 operador reporta que  motocilcista por intenmtar sobrepasarlo  lo colsiona por el lado derecho   no se presentan heridos en el punto  el tercero se da a al fuga y el zonal continua el recorrido  / Reportado por el TCZ de ETIB - Omar Casallas/ Reportado al TS del Ente Gestor - Carlos Ordoñez;0;0;0;5;No;VEN872;No;Norte-Sur
202166;2;13 - 14;12:00 - 15:59;2;3;3;5;1;[675] 94;[2758] IDA V.2;598790;518407;Tabla 39 / Viaje 3 operador reporta que camion al ingresar a la bomba de tanqueo lo deja descolgar y colisiona  al zonal por el lado derecho   no se presentan heridos en el punto/el tercero se da a la fuga y el zonal es enviado por sus propios medioa a patio  / Reportado por el TCZ de ETIB - Omar Casallas/ Reportado al TS del Ente Gestor - Jairo Zapata;0;0;0;5;No;WLT632;No;Sur-Norte
202169;2;13 - 14;12:00 - 15:59;4;3;3;5;1;[664] T40;[1836] T40;598090;512946;Tabla 5 / Viaje 3/ El operador  reporta que un colectivo de soacha invade carril y lo golpea, no se presentan lesionados, llega recomoto al punto, se concilia cada cual asume sus daños- zonal se dirige a patio/ Reportado por el TCZ de ETIB - Rodríguez Gina/ Reportado al TS del Ente Gestor - Gloria Chartano;0;0;0;5;No;WMN186;No;NO APLICA
202171;2;13 - 14;12:00 - 15:59;6;3;3;5;1;[59] 99;[3272] 99  V.4;594389;512026;Tabla 19 / Viaje 3 al paso se de la via se presenta novedad con movil de Consorcio, operador de etib asume la responsabilidad y se hace cuenta de cobro a favor de Consorcio Express/ movil para patio / Reportado por el TCZ de ETIB - Monroy Moya Luis Alejandro/ Reportado al TS del Ente Gestor - Jairo Zapata;0;0;0;5;Sí;VEZ114;No;Norte-Sur
202198;2;16 - 17;16:00 - 19:59;2;3;3;5;1;[838] R465;[3446] IDA ;606001;523384;Tabla 32 / Viaje 3 Operador informa que un Furgón pasa y le rompe el espejo derecho  tercero se da a la Fuga Operador no alcanza a tomar placas del tercero/ Operador informa que puede continuar recorrido con precaución / Reportado por el TCZ de ETIB - Silvia Paez/ Reportado al TS del Ente Gestor - Jairo Zapata  ;0;0;0;5;No;TUP492;No;Sur-Norte
202019;1;9 - 10;08:00 - 11:59;7;1;3;1;6;[851] 139_CE;[3458] HABITUAL_10.18;595184;510610;"Operador reporta que con el móvil a su cargo realizando la tabla 32 viaje 1, presenta un evento con las siguientes características: realizando su recorrido el bus toma un hueco en la via ocasionando un movimiento brusco lo cual ocasiona que una usuaria se golpee en la boca y otra usuaria reporta fuerte dolor abdominal, se solicita apoyo de ambulancia , se presentan 2 lesionados, al punto se envía asistencia de recomoto y abogado del concesionario  Reportado a TS Rocio Dominguez de TMSA, reportado por TC Miguel A  Cañon de CE 
se realiza procedimiento de transito con causal 119(C E) frenar bruscamente ";0;1;0;1;No;WGH268;No;Occi-Orien
202020;1;9 - 10;08:00 - 11:59;7;1;3;7;5;[121] R_270;[1406] 270_VUELTA_V2;605349;519227;Tabla 38 viaje 2/El operador reporta que colocan un reductor de velocidad sin pintar en el momento de pasar una señora salta y se golpea la cintura/Se envia aseguradora al punto/CONCLUSION:La usuaria es transladada,esta pendiente el ipad y numero de ambulancia/Reportado a Juan David Ortiz Supervisor de TMSA ;0;1;0;1;No;TUO758;No;Sur-Norte
